ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
06302-3900-1.zip,202502071525,東村山郡中山町大字中野,無地番-1,,
06302-3900-1.zip,202502071525,東村山郡中山町大字中野,3723-3,,
06302-3900-1.zip,202502071525,東村山郡中山町大字中野,3723-4,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,356-3,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,357-3,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,357-4,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,358-2,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,359-2,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,361-2,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,362-2,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,363-2,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,364-4,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,364-5,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,364-6,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,365-3,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,365-4,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,366-2,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,366-3,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,370-9,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,371-4,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,371-5,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,371-6,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,412-5,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,413-6,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,413-7,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,413-8,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,413-9,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,414-3,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,414-4,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,415-2,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,416-3,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,416-4,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,417-2,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,418-2,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,419-2,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,420-3,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,420-4,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,421-2,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,421-3,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,421-7,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,421-8,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,421-9,,
06302-3900-2.zip,202502071525,東村山郡中山町大字岡,421-10,,
