ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,930-乙,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,930-丙,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,930-丙-1,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,974-1,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,974-2,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,974-3,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,975-1,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,975-2,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,976-1,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,976-2,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,976-3,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,977-1,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,977-2,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,978,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,984,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,987,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,988,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,無地番-1,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,無地番-3,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,無地番-5,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,無地番-6,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,無地番-7,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,無地番-8,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,無地番-9,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,無地番-10,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,無地番-11,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,無地番-53,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,水-2,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,水-3,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,水-4,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,水-5,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,長狭物不明-1,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,長狭物不明-2,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,長狭物不明-3,,
06324-3901-1.zip,202502071551,西村山郡大江町大字貫見,長狭物不明-4,,
